Year,Month,Region,Model,Production_Units,Avg_Price_USD,Battery_Capacity_kWh,Range_km,CO2_Saved_tons,Estimated_Deliveries
2016,6,Rest of World,Model X,211,102118.06,99.8,446.3,16.68,212
2016,7,Asia-Pacific,Model S,701,91982.19,95.0,515.9,65.11,710
2016,7,Asia-Pacific,Model X,500,100255.87,100.2,446.2,37.61,482
2016,7,Europe,Model S,793,91982.19,95.0,515.9,78.63,815
2016,7,Europe,Model X,543,100255.87,100.2,446.2,40.89,508
2016,7,North America,Model S,1107,91982.19,95.0,515.9,106.44,1113
2016,7,North America,Model X,682,100255.87,100.2,446.2,51.39,671
2016,7,Rest of World,Model S,155,91982.19,95.0,515.9,13.7,148
2016,7,Rest of World,Model X,113,100255.87,100.2,446.2,10.1,124
2016,8,Asia-Pacific,Model S,1090,91220.89,95.0,517.2,101.1,1096
2016,8,Asia-Pacific,Model X,661,98501.46,100.4,450.9,49.85,640
2016,8,Europe,Model S,1019,91220.89,95.0,517.2,92.39,1042
2016,8,Europe,Model X,719,98501.46,100.4,450.9,60.44,764
2016,8,North America,Model S,1517,91220.89,95.0,517.2,132.86,1436
2016,8,North America,Model X,1067,98501.46,100.4,450.9,87.48,1066
2016,8,Rest of World,Model S,222,91220.89,95.0,517.2,20.41,227
2016,8,Rest of World,Model X,156,98501.46,100.4,450.9,13.52,167
2016,9,Asia-Pacific,Model S,1356,89451.93,95.3,509.9,130.14,1406
2016,9,Asia-Pacific,Model X,932,100273.7,99.8,457.9,76.1,895
2016,9,Europe,Model S,1428,89451.93,95.3,509.9,127.53,1452
2016,9,Europe,Model X,886,100273.7,99.8,457.9,72.2,892
2016,9,North America,Model S,1891,89451.93,95.3,509.9,165.6,1782
2016,9,North America,Model X,1460,100273.7,99.8,457.9,127.24,1592
2016,9,Rest of World,Model S,327,89451.93,95.3,509.9,27.51,301
2016,9,Rest of World,Model X,197,100273.7,99.8,457.9,17.45,204
2016,10,Asia-Pacific,Model S,689,91269.38,94.6,513.7,66.47,694
2016,10,Asia-Pacific,Model X,468,101527.26,100.8,442.9,37.65,452
2016,10,Europe,Model S,700,91269.38,94.6,513.7,64.53,707
2016,10,Europe,Model X,465,101527.26,100.8,442.9,36.24,478
2016,10,North America,Model S,962,91269.38,94.6,513.7,94.96,979
2016,10,North America,Model X,677,101527.26,100.8,442.9,53.53,646
2016,10,Rest of World,Model S,150,91269.38,94.6,513.7,13.74,145
2016,10,Rest of World,Model X,109,101527.26,100.8,442.9,8.27,103
2016,11,Asia-Pacific,Model S,916,88883.34,95.3,504.0,77.3,857
2016,11,Asia-Pacific,Model X,566,101569.06,99.2,452.1,49.41,579
2016,11,Europe,Model S,1024,88883.34,95.3,504.0,86.97,1003
2016,11,Europe,Model X,608,101569.06,99.2,452.1,47.8,613
2016,11,North America,Model S,1455,88883.34,95.3,504.0,147.34,1578
2016,11,North America,Model X,870,101569.06,99.2,452.1,69.65,839
2016,11,Rest of World,Model S,223,88883.34,95.3,504.0,18.28,209
2016,11,Rest of World,Model X,137,101569.06,99.2,452.1,12.07,142
2016,12,Asia-Pacific,Model S,1308,92624.41,94.8,512.6,126.08,1355
2016,12,Asia-Pacific,Model X,894,102211.59,100.9,445.0,71.73,888
2016,12,Europe,Model S,1327,92624.41,94.8,512.6,126.21,1438
2016,12,Europe,Model X,952,102211.59,100.9,445.0,82.38,1026
2016,12,North America,Model S,1887,92624.41,94.8,512.6,185.23,1929
2016,12,North America,Model X,1243,102211.59,100.9,445.0,98.47,1284
2016,12,Rest of World,Model S,326,92624.41,94.8,512.6,28.35,314
2016,12,Rest of World,Model X,215,102211.59,100.9,445.0,18.26,233
2017,1,Asia-Pacific,Model S,285,88797.86,94.9,508.6,28.53,306
2017,1,Asia-Pacific,Model X,194,102196.38,99.1,448.4,14.94,179
2017,1,Europe,Model S,272,88797.86,94.9,508.6,24.34,271
2017,1,Europe,Model X,210,102196.38,99.1,448.4,16.67,209
2017,1,North America,Model S,407,88797.86,94.9,508.6,35.26,382
2017,1,North America,Model X,272,102196.38,99.1,448.4,24.22,291
2017,1,Rest of World,Model S,59,88797.86,94.9,508.6,5.16,54
2017,1,Rest of World,Model X,44,102196.38,99.1,448.4,3.0,38
2017,2,Asia-Pacific,Model S,294,87604.43,95.6,522.5,26.74,272
2017,2,Asia-Pacific,Model X,206,101030.2,99.7,458.9,17.34,212
2017,2,Europe,Model S,353,87604.43,95.6,522.5,33.78,347
2017,2,Europe,Model X,220,101030.2,99.7,458.9,20.35,238
2017,2,North America,Model S,508,87604.43,95.6,522.5,48.1,498
2017,2,North America,Model X,294,101030.2,99.7,458.9,24.78,292
2017,2,Rest of World,Model S,72,87604.43,95.6,522.5,6.41,70
2017,2,Rest of World,Model X,44,101030.2,99.7,458.9,3.38,43
2017,3,Asia-Pacific,Model S,484,91102.03,94.3,509.1,44.89,484
2017,3,Asia-Pacific,Model X,328,102880.2,99.7,456.6,26.41,316
2017,3,Europe,Model S,490,91102.03,94.3,509.1,47.17,514
2017,3,Europe,Model X,313,102880.2,99.7,456.6,25.73,318
2017,3,North America,Model S,657,91102.03,94.3,509.1,65.18,705
2017,3,North America,Model X,485,102880.2,99.7,456.6,39.67,504
2017,3,Rest of World,Model S,113,91102.03,94.3,509.1,10.31,113
2017,3,Rest of World,Model X,67,102880.2,99.7,456.6,5.12,65
2017,4,Asia-Pacific,Model S,206,87951.43,94.4,514.2,19.17,201
2017,4,Asia-Pacific,Model X,152,98256.1,100.0,454.4,12.23,149
2017,4,Europe,Model S,250,87951.43,94.4,514.2,22.97,245
2017,4,Europe,Model X,147,98256.1,100.0,454.4,10.21,128
2017,4,North America,Model S,333,87951.43,94.4,514.2,31.7,359
2017,4,North America,Model X,231,98256.1,100.0,454.4,18.36,219
2017,4,Rest of World,Model S,53,87951.43,94.4,514.2,4.57,51
2017,4,Rest of World,Model X,32,98256.1,100.0,454.4,2.68,33
2017,5,Asia-Pacific,Model S,296,88753.91,94.1,512.5,26.8,303
2017,5,Asia-Pacific,Model X,185,97765.48,99.7,452.8,14.32,182
2017,5,Europe,Model S,311,88753.91,94.1,512.5,31.42,331
2017,5,Europe,Model X,208,97765.48,99.7,452.8,16.19,204
2017,5,North America,Model S,443,88753.91,94.1,512.5,39.33,439
2017,5,North America,Model X,311,97765.48,99.7,452.8,25.69,313
2017,5,Rest of World,Model S,69,88753.91,94.1,512.5,6.69,73
2017,5,Rest of World,Model X,44,97765.48,99.7,452.8,3.35,42
2017,6,Asia-Pacific,Model 3,2308,41381.69,70.4,433.1,189.31,2348
2017,6,Asia-Pacific,Model S,428,88236.22,94.2,523.2,42.62,450
2017,6,Asia-Pacific,Model X,298,98122.26,99.9,453.5,22.95,294
2017,6,Europe,Model 3,2523,41381.69,70.4,433.1,187.21,2495
2017,6,Europe,Model S,515,88236.22,94.2,523.2,51.1,526
2017,6,Europe,Model X,324,98122.26,99.9,453.5,25.91,318
2017,6,North America,Model 3,3476,41381.69,70.4,433.1,248.81,3060
2017,6,North America,Model S,687,88236.22,94.2,523.2,64.5,692
2017,6,North America,Model X,457,98122.26,99.9,453.5,36.2,453
2017,6,Rest of World,Model 3,484,41381.69,70.4,433.1,37.14,491
2017,6,Rest of World,Model S,104,88236.22,94.2,523.2,9.57,99
2017,6,Rest of World,Model X,74,98122.26,99.9,453.5,6.14,73
2017,7,Asia-Pacific,Model 3,1074,41525.54,70.3,425.7,86.97,1097
2017,7,Asia-Pacific,Model S,228,91698.7,95.0,518.4,21.77,238
2017,7,Asia-Pacific,Model X,160,99303.35,100.8,457.5,13.84,166
2017,7,Europe,Model 3,1285,41525.54,70.3,425.7,97.83,1237
2017,7,Europe,Model S,242,91698.7,95.0,518.4,21.57,234
2017,7,Europe,Model X,176,99303.35,100.8,457.5,12.62,159
2017,7,North America,Model 3,1630,41525.54,70.3,425.7,124.84,1618
2017,7,North America,Model S,344,91698.7,95.0,518.4,32.15,332
2017,7,North America,Model X,240,99303.35,100.8,457.5,18.61,235
2017,7,Rest of World,Model 3,249,41525.54,70.3,425.7,19.22,260
2017,7,Rest of World,Model S,55,91698.7,95.0,518.4,4.85,50
2017,7,Rest of World,Model X,35,99303.35,100.8,457.5,2.78,35
2017,8,Asia-Pacific,Model 3,1519,41876.12,70.7,423.3,108.0,1412
2017,8,Asia-Pacific,Model S,333,88537.96,95.4,519.6,27.67,297
2017,8,Asia-Pacific,Model X,211,100517.38,100.2,456.9,16.25,193
2017,8,Europe,Model 3,1653,41876.12,70.7,423.3,124.5,1710
2017,8,Europe,Model S,328,88537.96,95.4,519.6,31.87,352
2017,8,Europe,Model X,232,100517.38,100.2,456.9,18.57,234
2017,8,North America,Model 3,2531,41876.12,70.7,423.3,191.25,2487
2017,8,North America,Model S,491,88537.96,95.4,519.6,44.78,491
2017,8,North America,Model X,295,100517.38,100.2,456.9,27.0,315
2017,8,Rest of World,Model 3,384,41876.12,70.7,423.3,25.89,345
2017,8,Rest of World,Model S,77,88537.96,95.4,519.6,7.31,81
2017,8,Rest of World,Model X,51,100517.38,100.2,456.9,4.72,55
2017,9,Asia-Pacific,Model 3,2264,43124.21,69.7,427.8,179.31,2446
2017,9,Asia-Pacific,Model S,436,89741.98,94.9,509.3,40.64,458
2017,9,Asia-Pacific,Model X,313,100013.17,99.1,458.5,24.53,299
2017,9,Europe,Model 3,2408,43124.21,69.7,427.8,187.09,2499
2017,9,Europe,Model S,503,89741.98,94.9,509.3,46.82,504
2017,9,Europe,Model X,324,100013.17,99.1,458.5,30.78,363
2017,9,North America,Model 3,3724,43124.21,69.7,427.8,277.71,3786
2017,9,North America,Model S,686,89741.98,94.9,509.3,60.13,656
2017,9,North America,Model X,505,100013.17,99.1,458.5,40.85,476
2017,9,Rest of World,Model 3,511,43124.21,69.7,427.8,37.95,506
2017,9,Rest of World,Model S,117,89741.98,94.9,509.3,11.07,115
2017,9,Rest of World,Model X,72,100013.17,99.1,458.5,5.81,68
2017,10,Asia-Pacific,Model 3,1169,41417.07,70.2,430.7,87.67,1157
2017,10,Asia-Pacific,Model S,258,87836.98,95.4,509.7,23.39,257
2017,10,Asia-Pacific,Model X,156,99050.9,99.8,452.4,13.42,160
2017,10,Europe,Model 3,1311,41417.07,70.2,430.7,95.45,1273
2017,10,Europe,Model S,249,87836.98,95.4,509.7,23.18,258
2017,10,Europe,Model X,176,99050.9,99.8,452.4,12.94,160
2017,10,North America,Model 3,1794,41417.07,70.2,430.7,144.12,1773
2017,10,North America,Model S,394,87836.98,95.4,509.7,35.36,379
2017,10,North America,Model X,252,99050.9,99.8,452.4,20.66,256
2017,10,Rest of World,Model 3,282,41417.07,70.2,430.7,20.7,263
2017,10,Rest of World,Model S,59,87836.98,95.4,509.7,5.11,54
2017,10,Rest of World,Model X,37,99050.9,99.8,452.4,2.79,36
2017,11,Asia-Pacific,Model 3,1496,42244.04,70.4,427.1,116.07,1463
2017,11,Asia-Pacific,Model S,308,87359.38,95.8,507.5,27.99,310
2017,11,Asia-Pacific,Model X,222,98472.09,99.6,454.7,20.69,247
2017,11,Europe,Model 3,1740,42244.04,70.4,427.1,143.38,1877
2017,11,Europe,Model S,341,87359.38,95.8,507.5,30.16,317
2017,11,Europe,Model X,217,98472.09,99.6,454.7,16.8,202
2017,11,North America,Model 3,2247,42244.04,70.4,427.1,163.14,2216
2017,11,North America,Model S,508,87359.38,95.8,507.5,47.14,511
2017,11,North America,Model X,312,98472.09,99.6,454.7,25.85,309
2017,11,Rest of World,Model 3,377,42244.04,70.4,427.1,27.08,349
2017,11,Rest of World,Model S,72,87359.38,95.8,507.5,6.37,69
2017,11,Rest of World,Model X,46,98472.09,99.6,454.7,3.6,44
2017,12,Asia-Pacific,Model 3,2385,41319.62,69.4,423.5,175.33,2415
2017,12,Asia-Pacific,Model S,479,89249.26,95.8,506.6,45.45,499
2017,12,Asia-Pacific,Model X,334,97236.56,100.9,460.5,29.38,361
2017,12,Europe,Model 3,2534,41319.62,69.4,423.5,185.24,2475
2017,12,Europe,Model S,534,89249.26,95.8,506.6,52.72,561
2017,12,Europe,Model X,325,97236.56,100.9,460.5,29.16,336
2017,12,North America,Model 3,3710,41319.62,69.4,423.5,292.98,3916
2017,12,North America,Model S,678,89249.26,95.8,506.6,61.72,674
2017,12,North America,Model X,455,97236.56,100.9,460.5,39.73,470
2017,12,Rest of World,Model 3,571,41319.62,69.4,423.5,46.74,591
2017,12,Rest of World,Model S,103,89249.26,95.8,506.6,10.29,108
2017,12,Rest of World,Model X,76,97236.56,100.9,460.5,6.28,75
2018,1,Asia-Pacific,Model 3,2805,41917.85,69.5,438.4,227.26,2976
2018,1,Asia-Pacific,Model S,612,91613.43,94.7,532.9,57.94,609
2018,1,Asia-Pacific,Model X,402,99127.73,99.6,459.6,32.08,399
2018,1,Europe,Model 3,3381,41917.85,69.5,438.4,277.43,3511
2018,1,Europe,Model S,629,91613.43,94.7,532.9,64.87,645
2018,1,Europe,Model X,388,99127.73,99.6,459.6,31.07,380
2018,1,North America,Model 3,4865,41917.85,69.5,438.4,362.19,4716
2018,1,North America,Model S,941,91613.43,94.7,532.9,87.76,924
2018,1,North America,Model X,576,99127.73,99.6,459.6,46.33,587
2018,1,Rest of World,Model 3,646,41917.85,69.5,438.4,50.61,651
2018,1,Rest of World,Model S,134,91613.43,94.7,532.9,11.52,125
2018,1,Rest of World,Model X,97,99127.73,99.6,459.6,8.64,100
2018,2,Asia-Pacific,Model 3,3725,42461.81,70.5,429.1,298.94,3759
2018,2,Asia-Pacific,Model S,705,87612.35,95.7,532.3,67.5,698
2018,2,Asia-Pacific,Model X,482,102264.77,99.3,459.2,40.81,494
2018,2,Europe,Model 3,3874,42461.81,70.5,429.1,290.36,3694
2018,2,Europe,Model S,750,87612.35,95.7,532.3,70.57,714
2018,2,Europe,Model X,494,102264.77,99.3,459.2,41.85,511
2018,2,North America,Model 3,5667,42461.81,70.5,429.1,499.95,6270
2018,2,North America,Model S,1212,87612.35,95.7,532.3,124.46,1274
2018,2,North America,Model X,803,102264.77,99.3,459.2,67.2,809
2018,2,Rest of World,Model 3,872,42461.81,70.5,429.1,67.07,839
2018,2,Rest of World,Model S,172,87612.35,95.7,532.3,14.34,156
2018,2,Rest of World,Model X,106,102264.77,99.3,459.2,7.95,99
2018,3,Asia-Pacific,Model 3,5263,42304.71,70.5,428.5,413.68,5403
2018,3,Asia-Pacific,Model S,1033,91819.87,95.3,526.6,104.21,1064
2018,3,Asia-Pacific,Model X,779,100804.03,100.6,464.2,58.84,736
2018,3,Europe,Model 3,5533,42304.71,70.5,428.5,465.05,6062
2018,3,Europe,Model S,1248,91819.87,95.3,526.6,120.6,1242
2018,3,Europe,Model X,842,100804.03,100.6,464.2,73.5,916
2018,3,North America,Model 3,9038,42304.71,70.5,428.5,741.34,9377
2018,3,North America,Model S,1712,91819.87,95.3,526.6,165.53,1808
2018,3,North America,Model X,1050,100804.03,100.6,464.2,90.12,1074
2018,3,Rest of World,Model 3,1250,42304.71,70.5,428.5,97.47,1300
2018,3,Rest of World,Model S,252,91819.87,95.3,526.6,23.87,258
2018,3,Rest of World,Model X,163,100804.03,100.6,464.2,13.33,162
2018,4,Asia-Pacific,Model 3,2725,43060.54,70.4,438.5,215.64,2785
2018,4,Asia-Pacific,Model S,518,87744.86,95.3,526.3,49.82,506
2018,4,Asia-Pacific,Model X,374,97186.8,99.7,466.3,31.87,375
2018,4,Europe,Model 3,2893,43060.54,70.4,438.5,233.71,3096
2018,4,Europe,Model S,592,87744.86,95.3,526.3,54.1,577
2018,4,Europe,Model X,409,97186.8,99.7,466.3,34.5,400
2018,4,North America,Model 3,4126,43060.54,70.4,438.5,298.91,3904
2018,4,North America,Model S,798,87744.86,95.3,526.3,75.93,808
2018,4,North America,Model X,584,97186.8,99.7,466.3,47.72,587
2018,4,Rest of World,Model 3,616,43060.54,70.4,438.5,43.84,584
2018,4,Rest of World,Model S,119,87744.86,95.3,526.3,10.86,118
2018,4,Rest of World,Model X,78,97186.8,99.7,466.3,6.32,79
2018,5,Asia-Pacific,Model 3,3506,43099.25,70.1,428.6,290.88,3627
2018,5,Asia-Pacific,Model S,721,89891.67,94.6,524.6,67.93,686
2018,5,Asia-Pacific,Model X,516,100357.89,99.7,454.4,41.96,498
2018,5,Europe,Model 3,4186,43099.25,70.1,428.6,316.82,3981
2018,5,Europe,Model S,846,89891.67,94.6,524.6,75.1,828
2018,5,Europe,Model X,527,100357.89,99.7,454.4,40.35,490
2018,5,North America,Model 3,5975,43099.25,70.1,428.6,490.65,6132
2018,5,North America,Model S,1192,89891.67,94.6,524.6,110.25,1127
2018,5,North America,Model X,773,100357.89,99.7,454.4,59.37,757
2018,5,Rest of World,Model 3,874,43099.25,70.1,428.6,66.37,848
2018,5,Rest of World,Model S,164,89891.67,94.6,524.6,17.34,180
2018,5,Rest of World,Model X,110,100357.89,99.7,454.4,8.97,115
2018,6,Asia-Pacific,Model 3,5405,41437.61,70.6,438.1,441.34,5397
2018,6,Asia-Pacific,Model S,1181,90142.57,94.2,527.3,115.82,1194
2018,6,Asia-Pacific,Model X,811,100901.95,100.4,457.9,62.81,763
2018,6,Europe,Model 3,6286,41437.61,70.6,438.1,525.5,6885
2018,6,Europe,Model S,1308,90142.57,94.2,527.3,117.73,1281
2018,6,Europe,Model X,801,100901.95,100.4,457.9,65.09,800
2018,6,North America,Model 3,8279,41437.61,70.6,438.1,687.31,9050
2018,6,North America,Model S,1614,90142.57,94.2,527.3,147.79,1602
2018,6,North America,Model X,1078,100901.95,100.4,457.9,97.68,1157
2018,6,Rest of World,Model 3,1291,41437.61,70.6,438.1,107.28,1380
2018,6,Rest of World,Model S,249,90142.57,94.2,527.3,28.14,283
2018,6,Rest of World,Model X,184,100901.95,100.4,457.9,16.93,207
2018,7,Asia-Pacific,Model 3,2372,40883.86,70.6,437.0,180.47,2378
2018,7,Asia-Pacific,Model S,485,89411.84,94.5,532.3,45.03,469
2018,7,Asia-Pacific,Model X,358,100702.87,99.3,467.3,32.92,388
2018,7,Europe,Model 3,2735,40883.86,70.6,437.0,208.91,2654
2018,7,Europe,Model S,575,89411.84,94.5,532.3,47.61,519
2018,7,Europe,Model X,381,100702.87,99.3,467.3,31.93,367
2018,7,North America,Model 3,3647,40883.86,70.6,437.0,267.78,3538
2018,7,North America,Model S,807,89411.84,94.5,532.3,75.69,804
2018,7,North America,Model X,497,100702.87,99.3,467.3,41.56,518
2018,7,Rest of World,Model 3,637,40883.86,70.6,437.0,51.3,629
2018,7,Rest of World,Model S,115,89411.84,94.5,532.3,10.37,111
2018,7,Rest of World,Model X,83,100702.87,99.3,467.3,6.57,80
2018,8,Asia-Pacific,Model 3,4005,41008.61,70.7,439.2,301.12,3876
2018,8,Asia-Pacific,Model S,721,89755.6,95.0,522.8,66.74,684
2018,8,Asia-Pacific,Model X,530,102028.69,100.4,471.7,42.36,491
2018,8,Europe,Model 3,4343,41008.61,70.7,439.2,344.45,4328
2018,8,Europe,Model S,854,89755.6,95.0,522.8,78.14,793
2018,8,Europe,Model X,512,102028.69,100.4,471.7,45.17,510
2018,8,North America,Model 3,5506,41008.61,70.7,439.2,440.93,5378
2018,8,North America,Model S,1219,89755.6,95.0,522.8,115.22,1262
2018,8,North America,Model X,791,102028.69,100.4,471.7,69.52,813
2018,8,Rest of World,Model 3,914,41008.61,70.7,439.2,76.6,940
2018,8,Rest of World,Model S,169,89755.6,95.0,522.8,17.46,182
2018,8,Rest of World,Model X,117,102028.69,100.4,471.7,10.26,119
2018,9,Asia-Pacific,Model 3,5715,43094.78,69.4,433.9,473.65,6118
2018,9,Asia-Pacific,Model S,1058,89652.15,94.3,529.1,94.32,1018
2018,9,Asia-Pacific,Model X,768,99278.71,100.0,470.2,61.84,715
2018,9,Europe,Model 3,5765,43094.78,69.4,433.9,460.39,5831
2018,9,Europe,Model S,1164,89652.15,94.3,529.1,119.68,1263
2018,9,Europe,Model X,778,99278.71,100.0,470.2,72.12,843
2018,9,North America,Model 3,8479,43094.78,69.4,433.9,660.83,8648
2018,9,North America,Model S,1712,89652.15,94.3,529.1,163.76,1750
2018,9,North America,Model X,1129,99278.71,100.0,470.2,97.96,1176
2018,9,Rest of World,Model 3,1198,43094.78,69.4,433.9,96.14,1228
2018,9,Rest of World,Model S,238,89652.15,94.3,529.1,24.77,261
2018,9,Rest of World,Model X,182,99278.71,100.0,470.2,14.97,185
2018,10,Asia-Pacific,Model 3,2616,42218.25,70.3,430.7,194.92,2491
2018,10,Asia-Pacific,Model S,530,91128.85,95.1,514.3,49.96,523
2018,10,Asia-Pacific,Model X,364,98272.27,99.8,465.6,31.36,390
2018,10,Europe,Model 3,2860,42218.25,70.3,430.7,218.12,2784
2018,10,Europe,Model S,564,91128.85,95.1,514.3,50.18,568
2018,10,Europe,Model X,390,98272.27,99.8,465.6,32.52,397
2018,10,North America,Model 3,4227,42218.25,70.3,430.7,302.9,4103
2018,10,North America,Model S,768,91128.85,95.1,514.3,71.74,752
2018,10,North America,Model X,562,98272.27,99.8,465.6,44.31,543
2018,10,Rest of World,Model 3,599,42218.25,70.3,430.7,44.39,546
2018,10,Rest of World,Model S,127,91128.85,95.1,514.3,11.53,128
2018,10,Rest of World,Model X,81,98272.27,99.8,465.6,6.34,76
2018,11,Asia-Pacific,Model 3,4010,40891.56,70.6,437.5,306.04,3946
2018,11,Asia-Pacific,Model S,743,89483.32,95.4,521.0,63.6,708
2018,11,Asia-Pacific,Model X,499,97416.54,99.1,463.9,41.87,510
2018,11,Europe,Model 3,3950,40891.56,70.6,437.5,289.17,3690
2018,11,Europe,Model S,780,89483.32,95.4,521.0,73.34,776
2018,11,Europe,Model X,557,97416.54,99.1,463.9,46.49,555
2018,11,North America,Model 3,5618,40891.56,70.6,437.5,451.26,5623
2018,11,North America,Model S,1222,89483.32,95.4,521.0,113.14,1150
2018,11,North America,Model X,828,97416.54,99.1,463.9,63.55,782
2018,11,Rest of World,Model 3,912,40891.56,70.6,437.5,66.06,869
2018,11,Rest of World,Model S,166,89483.32,95.4,521.0,14.23,154
2018,11,Rest of World,Model X,122,97416.54,99.1,463.9,10.82,130
2018,12,Asia-Pacific,Model 3,4811,41612.17,70.2,444.8,356.44,4621
2018,12,Asia-Pacific,Model S,1054,92659.41,95.1,531.4,100.44,1006
2018,12,Asia-Pacific,Model X,667,99683.22,100.0,465.4,55.14,687
2018,12,Europe,Model 3,5206,41612.17,70.2,444.8,433.55,5471
2018,12,Europe,Model S,1033,92659.41,95.1,531.4,105.93,1077
2018,12,Europe,Model X,783,99683.22,100.0,465.4,67.32,779
2018,12,North America,Model 3,8250,41612.17,70.2,444.8,686.74,8357
2018,12,North America,Model S,1655,92659.41,95.1,531.4,180.11,1836
2018,12,North America,Model X,1116,99683.22,100.0,465.4,94.09,1157
2018,12,Rest of World,Model 3,1264,41612.17,70.2,444.8,106.16,1267
2018,12,Rest of World,Model S,237,92659.41,95.1,531.4,21.02,222
2018,12,Rest of World,Model X,154,99683.22,100.0,465.4,13.49,158
2019,1,Asia-Pacific,Model 3,3794,41783.61,70.3,448.7,289.16,3715
2019,1,Asia-Pacific,Model S,761,90033.17,94.3,528.7,72.23,762
2019,1,Asia-Pacific,Model X,495,98819.65,100.4,462.7,43.01,515
2019,1,Europe,Model 3,3870,41783.61,70.3,448.7,293.0,3717
2019,1,Europe,Model S,799,90033.17,94.3,528.7,67.7,744
2019,1,Europe,Model X,565,98819.65,100.4,462.7,46.23,566
2019,1,North America,Model 3,5845,41783.61,70.3,448.7,434.94,5662
2019,1,North America,Model S,1146,90033.17,94.3,528.7,100.42,1086
2019,1,North America,Model X,695,98819.65,100.4,462.7,55.61,667
